_id__$oid	id	code	name	short_name	campus	lat	lng	address__street	address__city	address__province	address__country	address__postal
56af1083a6b3f10a7e86cd1d	415	OH	Odette (Louis) Hall	Odette Hall	UTSG	43.66635	-79.38891	50  St. Joseph Street	Toronto	ON	Canada	M5S 1J4
56af1083a6b3f10a7e86cd1e	416	WN	Windle House	Windle House	UTSG	43.66601	-79.38949	5  Elmsley Place	Toronto	ON	Canada	
56af1083a6b3f10a7e86cd1f	323B	XX323B	Schreiberwood Res - Block B (Phase I)	Schreiberwood-B	UTM	43.54913	-79.66788	3400 Residence Road	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd20	128	JH	Jackman Humanities Building	Jackman	UTSG	43.66766	-79.40032	170  St. George Street	Toronto	ON	Canada	M5R 2M8
56af1083a6b3f10a7e86cd21	94	BK	Back Campus Fields	Back Campus	UTSG	0	0	20 Tower Road	Toronto	ON	Canada	
56af1083a6b3f10a7e86cd22	111	SK	Factor-Inwentash Faculty of Social Work	Social Work	UTSG	43.66829	-79.39773	246  Bloor Street West	Toronto	ON	Canada	M5S 1V4
56af1083a6b3f10a7e86cd23	29	SD	Sir Daniel Wilson Residence	Sir Daniel	UTSG	43.66264	-79.39753	73  St. George Street	Toronto	ON	Canada	M5S 2E5
56af1083a6b3f10a7e86cd24	51	EJ	Edward Johnson Building	Edward Johns	UTSG	43.66655	-79.39458	80  Queen's Park	Toronto	ON	Canada	M5S 2C5
56af1083a6b3f10a7e86cd25	24	HA	Haultain Building	Haultain	UTSG	43.65994	-79.39364	170  College Street (rear of)	Toronto	ON	Canada	M5S 3E3
56af1083a6b3f10a7e86cd26	3	SM	Gerstein Science Information Centre in the Sigmund Samuel Library Bldg	Sig Samuel	UTSG	43.6622	-79.39385	7 and 9 King's College Circle	Toronto	ON	Canada	M5S 3K1
56af1083a6b3f10a7e86cd27	324A	XX324A	Roy Ivor Hall Res - House A (Phase VI)	Ivor Hall-A	UTM	43.54807	-79.66701	3370 Residence Road	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86cd28	313	DV	William G. Davis Building	Davis Bldg	UTM	43.54858	-79.66148	1867 Inner Circle	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86cd29	130	WO	Woodsworth College Residence	WoodswrthRez	UTSG	43.66733	-79.39933	321  Bloor St. West	Toronto	ON	Canada	M5S 1S5
56af1083a6b3f10a7e86cd2a	200K	PO	Portable 102	Portable 102	UTSC	43.7839	-79.18856		Scarborough	ON	Canada	
